                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2179,                 0.7335,                 1.3594,                 1.3727,                0.86624,                 1.3311,                0.83408,                0.76971,                0.82906,                  0.479,                 1.6688,                0.78036,                 1.7498,                 1.7425,                0.98661,                 1.6025,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.2044,                0.73084,                 1.3521,                 1.3614,                0.87012,                 1.3292,                0.83507,                 0.7591,                0.82712,                0.47792,                 1.6383,                0.77296,                 1.7069,                 1.7584,                0.92343,                 1.6185,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.1941,                0.72936,                  1.358,                 1.3473,                0.87522,                 1.3322,                0.84716,                0.75321,                0.82593,                0.48132,                 1.6446,                0.77968,                 1.7115,                 1.7991,                0.91243,                 1.6205,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.1954,                0.71917,                 1.3517,                 1.3419,                0.85116,                  1.326,                0.83705,                0.76591,                0.83115,                0.48331,                 1.6845,                0.80048,                 1.7435,                  1.759,                0.98414,                 1.6247,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.2041,                0.72514,                 1.3535,                 1.3539,                0.86482,                 1.3226,                0.84648,                0.75891,                0.83214,                0.48218,                 1.7059,                0.80874,                 1.7324,                 1.8026,                0.93597,                  1.641,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.1852,                0.72076,                 1.3537,                 1.3238,                0.85731,                  1.327,                 0.8689,                0.73112,                0.83341,                0.48912,                 1.6524,                 0.7814,                 1.7176,                 1.7409,                0.94345,                 1.6241,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.1802,                0.71181,                 1.3492,                  1.327,                0.83026,                 1.3227,                  0.831,                0.77803,                0.82978,                0.48199,                  1.661,                0.77495,                 1.7266,                 1.7714,                0.92752,                 1.6206,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.1378,                0.65442,                 1.3228,                 1.2661,                0.73184,                 1.3047,                0.80039,                0.77002,                0.82214,                0.47717,                 1.6914,                0.80527,                  1.764,                 1.8369,                0.99173,                 1.6608,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.1289,                0.63382,                 1.3163,                 1.2638,                0.71878,                 1.2915,                0.86749,                0.73101,                0.82629,                0.48274,                 1.6712,                0.77574,                 1.7317,                 1.7917,                0.89827,                 1.6354,               0.000109,               0.000109,               0.000109
                     93,                 1.1099,                0.61465,                 1.3001,                 1.2502,                0.67965,                 1.2839,                0.81895,                0.76716,                0.82862,                0.48057,                 1.6571,                0.77722,                 1.7463,                 1.7543,                0.91081,                 1.6252,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.1019,                0.60564,                 1.2932,                 1.2345,                0.66504,                  1.276,                0.84451,                0.75532,                0.82835,                0.48128,                 1.6585,                0.79617,                 1.7236,                 1.7659,                0.94345,                 1.6136,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.0912,                0.60145,                 1.2939,                 1.2324,                0.66467,                 1.2744,                 0.8675,                0.74026,                0.83132,                 0.4828,                  1.654,                 0.8048,                 1.7217,                 1.7965,                0.90163,                 1.6198,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.0902,                0.60214,                 1.2929,                  1.222,                0.66429,                 1.2705,                0.83068,                0.76031,                 0.8307,                0.48064,                 1.6763,                0.78349,                 1.7428,                 1.7573,                0.93574,                 1.6264,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                 1.0865,                0.59268,                 1.2813,                 1.2274,                0.64689,                  1.262,                0.82788,                0.76012,                0.82946,                0.48055,                 1.6654,                0.80612,                 1.7279,                 1.7681,                0.92958,                  1.621,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.0852,                0.58982,                 1.2763,                 1.2217,                0.63704,                 1.2594,                0.84529,                0.76102,                0.83167,                0.48038,                 1.6735,                0.80369,                 1.7326,                 1.7622,                0.96992,                 1.6229,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                  1.077,                0.59439,                  1.276,                 1.2069,                0.65373,                  1.259,                0.86141,                0.75178,                0.83368,                0.48061,                 1.6517,                0.78195,                 1.7249,                 1.7197,                0.96186,                 1.6035,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                 1.0653,                0.58857,                 1.2758,                 1.2012,                0.63989,                 1.2594,                0.84643,                0.76733,                0.83479,                0.48514,                 1.6573,                0.77721,                 1.7337,                 1.7558,                0.88399,                 1.6286,               2.98e-05,               2.98e-05,               2.98e-05
