                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.51237,                0.29894,                 0.8876,                0.91385,                0.83545,                0.89953,                0.56335,                 1.5728,                0.65299,                 1.6477,             0.00030205,             0.00030205,             0.00030205
                    143,                0.51765,                0.30396,                0.88998,                0.89299,                0.85225,                0.89742,                 0.5585,                 1.5829,                0.65767,                  1.657,              0.0002971,              0.0002971,              0.0002971
                    144,                0.51364,                0.30061,                0.88714,                0.90028,                0.84629,                0.89704,                0.56257,                 1.5897,                0.67548,                  1.679,             0.00029215,             0.00029215,             0.00029215
                    145,                0.50391,                0.29577,                0.88191,                0.90492,                 0.8533,                0.90201,                0.56285,                 1.5887,                0.65635,                  1.663,              0.0002872,              0.0002872,              0.0002872
                    146,                0.51449,                0.29834,                0.88712,                0.90874,                0.84352,                0.89563,                0.56198,                 1.5577,                 0.6538,                 1.6747,             0.00028225,             0.00028225,             0.00028225
                    147,                0.50078,                0.29394,                0.87915,                0.91104,                0.85412,                0.89828,                 0.5613,                 1.5691,                0.64221,                 1.6805,              0.0002773,              0.0002773,              0.0002773
                    148,                0.49688,                0.29378,                0.87983,                0.89697,                0.86206,                0.90399,                0.56333,                 1.5781,                0.64832,                 1.6698,             0.00027235,             0.00027235,             0.00027235
                    149,                 0.5115,                0.29469,                0.88363,                0.90545,                0.85972,                0.90264,                0.56165,                 1.5816,                 0.6497,                 1.6901,              0.0002674,              0.0002674,              0.0002674
                    150,                0.49702,                0.29228,                0.87856,                0.89745,                0.86141,                0.90016,                0.56656,                 1.5713,                0.64394,                 1.6724,             0.00026245,             0.00026245,             0.00026245
                    151,                0.50423,                 0.2958,                0.88248,                0.91115,                0.84686,                0.89851,                0.56286,                 1.5934,                 0.6577,                 1.7234,              0.0002575,              0.0002575,              0.0002575
                    152,                0.49382,                0.28935,                0.88042,                0.92104,                0.83775,                0.89947,                0.56651,                  1.572,                0.64287,                 1.6982,             0.00025255,             0.00025255,             0.00025255
