                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.76118,                0.64154,                 1.2676,                0.94363,                0.71435,                   1.26,                0.85631,                0.77807,                0.84175,                0.48706,                 1.3404,                0.73149,                 1.6485,                 1.5009,                0.83814,                 1.5814,              0.0005644,              0.0005644,              0.0005644
                     69,                0.77759,                0.64534,                 1.2645,                0.96426,                0.70524,                 1.2514,                0.84263,                0.79055,                0.84476,                0.47866,                 1.4017,                0.73883,                 1.6969,                 1.5631,                0.79621,                 1.6424,              0.0005578,              0.0005578,              0.0005578
                     70,                0.76876,                0.64056,                 1.2625,                0.94751,                0.70514,                 1.2512,                0.86442,                0.76627,                0.85082,                0.48461,                 1.3682,                0.76187,                 1.6763,                 1.5013,                0.84281,                 1.5875,              0.0005512,              0.0005512,              0.0005512
                     71,                0.77169,                0.63684,                 1.2544,                0.97275,                0.71097,                 1.2403,                0.85046,                0.80457,                0.85999,                0.48593,                 1.3594,                0.73067,                 1.6725,                 1.5261,                0.81992,                 1.6081,              0.0005446,              0.0005446,              0.0005446
                     72,                0.76377,                0.63989,                 1.2655,                0.94657,                0.71745,                 1.2604,                0.88811,                0.77481,                0.85339,                 0.4825,                 1.3737,                0.73835,                 1.6672,                 1.5327,                0.85553,                 1.6045,               0.000538,               0.000538,               0.000538
                     73,                0.76949,                0.64168,                 1.2518,                 0.9668,                0.71012,                 1.2406,                0.85371,                0.79815,                 0.8528,                0.47913,                 1.4048,                0.71775,                 1.6869,                 1.5763,                0.81496,                 1.6121,              0.0005314,              0.0005314,              0.0005314
                     74,                0.74904,                0.62728,                 1.2537,                0.93982,                0.68881,                 1.2446,                0.84104,                0.79773,                 0.8487,                  0.483,                 1.3709,                0.75274,                 1.6803,                 1.5544,                0.84577,                 1.6106,              0.0005248,              0.0005248,              0.0005248
                     75,                0.73092,                0.62231,                 1.2387,                0.91836,                 0.6892,                 1.2328,                0.89468,                0.76562,                0.85855,                 0.4792,                 1.3913,                0.72696,                 1.7006,                 1.5743,                0.80945,                 1.6572,              0.0005182,              0.0005182,              0.0005182
                     76,                0.74195,                0.62071,                 1.2426,                  0.929,                0.68448,                 1.2379,                0.85572,                0.80531,                0.85128,                0.48629,                 1.3296,                0.74578,                 1.6433,                 1.5543,                 0.7926,                 1.6076,              0.0005116,              0.0005116,              0.0005116
                     77,                0.73108,                0.61661,                 1.2411,                0.92258,                0.66648,                 1.2332,                0.83824,                0.80967,                0.85476,                0.47822,                 1.3593,                0.73929,                 1.6771,                 1.5698,                0.77343,                 1.6389,               0.000505,               0.000505,               0.000505
                     78,                0.73486,                0.61533,                 1.2538,                0.91411,                0.66915,                 1.2487,                0.87898,                0.77147,                0.84583,                0.47455,                  1.366,                0.73953,                 1.6626,                 1.5157,                0.82252,                 1.5979,              0.0004984,              0.0004984,              0.0004984
                     79,                0.75624,                0.62058,                  1.244,                0.94602,                0.68701,                 1.2383,                0.86859,                0.79883,                0.84967,                 0.4884,                 1.3743,                0.72725,                  1.669,                 1.5358,                 0.7756,                 1.5946,              0.0004918,              0.0004918,              0.0004918
                     80,                0.73821,                 0.6114,                 1.2376,                0.92092,                0.67585,                 1.2295,                0.88335,                0.78643,                0.85717,                0.48669,                 1.3704,                0.72569,                 1.6709,                 1.5378,                0.80983,                 1.6031,              0.0004852,              0.0004852,              0.0004852
                     81,                0.71994,                0.60573,                 1.2245,                0.89167,                0.65166,                 1.2129,                0.87932,                 0.7965,                0.85334,                0.47876,                 1.3612,                0.73102,                 1.6591,                 1.5395,                0.83769,                 1.6092,              0.0004786,              0.0004786,              0.0004786
                     82,                0.73861,                0.62327,                 1.2398,                0.93016,                0.68847,                 1.2345,                0.86538,                0.80097,                0.85061,                0.48652,                 1.3802,                0.71678,                 1.6795,                 1.5379,                0.79498,                 1.5938,               0.000472,               0.000472,               0.000472
                     83,                0.72604,                0.61625,                 1.2478,                 0.9116,                0.67605,                 1.2415,                0.85993,                0.79142,                0.85044,                0.48108,                  1.352,                0.74996,                 1.6558,                  1.535,                0.83422,                 1.6089,              0.0004654,              0.0004654,              0.0004654
                     84,                 0.7294,                0.61049,                 1.2375,                0.90047,                0.65988,                 1.2295,                0.89042,                0.78757,                0.86747,                0.49556,                 1.3618,                0.69576,                  1.666,                   1.57,                0.78699,                 1.6076,              0.0004588,              0.0004588,              0.0004588
                     85,                0.72446,                0.60866,                  1.232,                0.89765,                0.65884,                 1.2256,                0.88624,                0.77422,                0.85411,                0.48547,                 1.3927,                0.72198,                 1.6813,                 1.5379,                0.81051,                 1.6003,              0.0004522,              0.0004522,              0.0004522
                     86,                0.71293,                  0.603,                 1.2282,                0.89639,                0.65495,                 1.2222,                0.87894,                0.80048,                0.86136,                0.48448,                 1.3699,                0.71544,                 1.6831,                 1.5588,                0.80868,                 1.6252,              0.0004456,              0.0004456,              0.0004456
                     87,                0.69924,                0.59436,                 1.2274,                0.87454,                0.64336,                 1.2225,                0.87371,                0.80793,                0.85596,                0.48005,                 1.3989,                0.72416,                 1.6936,                 1.5402,                0.84507,                 1.6099,               0.000439,               0.000439,               0.000439
                     88,                0.71491,                 0.5974,                 1.2189,                0.91226,                0.66067,                 1.2137,                0.84509,                0.82137,                 0.8556,                 0.4844,                 1.3713,                0.71645,                 1.6841,                 1.5784,                 0.7895,                 1.6483,              0.0004324,              0.0004324,              0.0004324
                     89,                 0.6883,                0.58967,                 1.2109,                0.86716,                0.63878,                 1.2067,                0.84227,                0.81036,                0.84903,                0.47316,                 1.3967,                0.73581,                  1.706,                 1.6051,                0.80668,                 1.6617,              0.0004258,              0.0004258,              0.0004258
                     90,                 0.6956,                0.59681,                 1.2144,                0.87284,                0.65117,                 1.2094,                0.86898,                0.79596,                0.84458,                0.47656,                 1.3707,                0.71708,                 1.6867,                 1.5427,                0.81821,                 1.6439,              0.0004192,              0.0004192,              0.0004192
                     91,                0.69698,                0.58534,                 1.2003,                0.88771,                0.63704,                 1.1943,                0.86895,                0.79431,                0.84438,                0.48009,                 1.3882,                0.74385,                 1.6893,                  1.544,                0.85999,                 1.6177,              0.0004126,              0.0004126,              0.0004126
